FID,PROVINSI,KECAMATAN,DESA,KABKOT
10272,SUMATERA UTARA,DOLOKSANGGUL,SAMPEAN,HUMBANG HASUNDUTAN
10273,SUMATERA UTARA,POLLUNG,AEK NAULI I,HUMBANG HASUNDUTAN
10274,SUMATERA UTARA,LINTONG NIHUTA,SIHARJULU,HUMBANG HASUNDUTAN
10275,SUMATERA UTARA,PARLILITAN,SIONOM HUDON SELATAN,HUMBANG HASUNDUTAN
10276,SUMATERA UTARA,PARLILITAN,SIONOM HUDON UTARA,HUMBANG HASUNDUTAN
10277,SUMATERA UTARA,PARLILITAN,SIONOM HUDON TIMUR II,HUMBANG HASUNDUTAN
10278,SUMATERA UTARA,PARLILITAN,SIONOM HUDON TIMUR I,HUMBANG HASUNDUTAN
10279,SUMATERA UTARA,TARABINTANG,SIHOMBU,HUMBANG HASUNDUTAN
10280,SUMATERA UTARA,PARLILITAN,SIHOTANG HASUGIAN TONGA,HUMBANG HASUNDUTAN
10281,SUMATERA UTARA,PAKKAT,PAKKAT HAUAGONG,HUMBANG HASUNDUTAN
10282,SUMATERA UTARA,PAKKAT,RURA TANJUNG,HUMBANG HASUNDUTAN
10283,SUMATERA UTARA,PAKKAT,RURA AEK SOPANG,HUMBANG HASUNDUTAN
10284,SUMATERA UTARA,DOLOKSANGGUL,SOSOR TAMBOK,HUMBANG HASUNDUTAN
10285,SUMATERA UTARA,DOLOKSANGGUL,SILAGA LAGA,HUMBANG HASUNDUTAN
10286,SUMATERA UTARA,DOLOKSANGGUL,MATITI II,HUMBANG HASUNDUTAN
10287,SUMATERA UTARA,DOLOKSANGGUL,MATITI I,HUMBANG HASUNDUTAN
10288,SUMATERA UTARA,SIJAMAPOLANG,BONAN DOLOK II,HUMBANG HASUNDUTAN
10289,SUMATERA UTARA,LINTONG NIHUTA,SITOLU BAHAL,HUMBANG HASUNDUTAN
10290,SUMATERA UTARA,PAKKAT,SIAMBATON,HUMBANG HASUNDUTAN
10291,SUMATERA UTARA,PAKKAT,PURBA BERSATU,HUMBANG HASUNDUTAN
10292,SUMATERA UTARA,SIJAMAPOLANG,BATUNAJAGAR,HUMBANG HASUNDUTAN
10293,SUMATERA UTARA,PAKKAT,LUMBAN TONGA TONGA,HUMBANG HASUNDUTAN
10294,SUMATERA UTARA,PARLILITAN,SIHOTANG HASUGIAN HABINSARAN,HUMBANG HASUNDUTAN
10295,SUMATERA UTARA,ONAN GANJANG,PARNAPA,HUMBANG HASUNDUTAN
10296,SUMATERA UTARA,ONAN GANJANG,JANJI NAGODANG,HUMBANG HASUNDUTAN
10297,SUMATERA UTARA,TARABINTANG,SIHOTANG HASUGIAN TORUAN,HUMBANG HASUNDUTAN
10298,SUMATERA UTARA,PARANGINAN,PARANGINAN SELATAN,HUMBANG HASUNDUTAN
10299,SUMATERA UTARA,PAKKAT,MANALU,HUMBANG HASUNDUTAN
10300,SUMATERA UTARA,DOLOKSANGGUL,PURBA DOLOK,HUMBANG HASUNDUTAN
10301,SUMATERA UTARA,DOLOKSANGGUL,PURBA MANALU,HUMBANG HASUNDUTAN
10302,SUMATERA UTARA,DOLOKSANGGUL,SAITNIHUTA,HUMBANG HASUNDUTAN
10303,SUMATERA UTARA,LINTONG NIHUTA,SITIO II,HUMBANG HASUNDUTAN
10304,SUMATERA UTARA,LINTONG NIHUTA,PARGAULAN,HUMBANG HASUNDUTAN
10305,SUMATERA UTARA,LINTONG NIHUTA,SIBUNTUON PARTUR,HUMBANG HASUNDUTAN
10306,SUMATERA UTARA,DOLOKSANGGUL,PAKKAT,HUMBANG HASUNDUTAN
10307,SUMATERA UTARA,PAKKAT,KARYA,HUMBANG HASUNDUTAN
10308,SUMATERA UTARA,PAKKAT,TUKKA DOLOK,HUMBANG HASUNDUTAN
10309,SUMATERA UTARA,DOLOKSANGGUL,SIRISIRISI,HUMBANG HASUNDUTAN
10310,SUMATERA UTARA,PAKKAT,BANUAREA,HUMBANG HASUNDUTAN
10311,SUMATERA UTARA,ONAN GANJANG,SIHIKKIT,HUMBANG HASUNDUTAN
10312,SUMATERA UTARA,ONAN GANJANG,SAMPETUA,HUMBANG HASUNDUTAN
10313,SUMATERA UTARA,DOLOKSANGGUL,BONANI ONAN,HUMBANG HASUNDUTAN
10314,SUMATERA UTARA,DOLOKSANGGUL,PASARIBU,HUMBANG HASUNDUTAN
10315,SUMATERA UTARA,PARANGINAN,LOBU TOLONG,HUMBANG HASUNDUTAN
10316,SUMATERA UTARA,BAKTI RAJA,TIPANG,HUMBANG HASUNDUTAN
10317,SUMATERA UTARA,SIEMPAT RUBE,MUNGKUR,PAKPAK BARAT
10318,SUMATERA UTARA,SIEMPAT RUBE,SIEMPAT RUBE I,PAKPAK BARAT
10319,SUMATERA UTARA,KERAJAAN,PERDUHAPEN,PAKPAK BARAT
10320,SUMATERA UTARA,KERAJAAN,SUKARAMAI,PAKPAK BARAT
10321,SUMATERA UTARA,KERAJAAN,MAJANGGUT I,PAKPAK BARAT
10322,SUMATERA UTARA,KERAJAAN,PARDOMUAN,PAKPAK BARAT
10323,SUMATERA UTARA,KERAJAAN,KUTA MARIAH,PAKPAK BARAT
10324,SUMATERA UTARA,KERAJAAN,KUTASAGA,PAKPAK BARAT
10325,SUMATERA UTARA,TINADA,PRONGIL,PAKPAK BARAT
10326,SUMATERA UTARA,PERGETTENG-GETTENG SENGKUT,AORNAKAN II,PAKPAK BARAT
10327,SUMATERA UTARA,PERGETTENG-GETTENG SENGKUT,KECUPAK II,PAKPAK BARAT
10328,SUMATERA UTARA,SIEMPAT RUBE,SIEMPAT RUBE IV,PAKPAK BARAT
10329,SUMATERA UTARA,SIEMPAT RUBE,KUTA JUNGAK,PAKPAK BARAT
10330,SUMATERA UTARA,SIEMPAT RUBE,SIEMPAT RUBE II,PAKPAK BARAT
10331,SUMATERA UTARA,SIEMPAT RUBE,TRAJU,PAKPAK BARAT
10332,SUMATERA UTARA,SITELLU TALI URANG JEHE,TANJUNG MERIAH,PAKPAK BARAT
10333,SUMATERA UTARA,SITELLU TALI URANG JEHE,SIMBERUNA,PAKPAK BARAT
10334,SUMATERA UTARA,SALAK,BOANGMANALU SALAK,PAKPAK BARAT
10335,SUMATERA UTARA,TINADA,SILIMAKUTA,PAKPAK BARAT
10336,SUMATERA UTARA,TINADA,BULUH TELLANG,PAKPAK BARAT
10337,SUMATERA UTARA,TINADA,TINADA,PAKPAK BARAT
10338,SUMATERA UTARA,TINADA,KUTA BABO,PAKPAK BARAT
10339,SUMATERA UTARA,TINADA,MAHALA,PAKPAK BARAT
10340,SUMATERA UTARA,SITELLU TALI URANG JULU,SILIMAKUTA,PAKPAK BARAT
10341,SUMATERA UTARA,SITELLU TALI URANG JULU,CIKAOK,PAKPAK BARAT
10342,SUMATERA UTARA,SITELLU TALI URANG JULU,LAE LANGGE NAMUSENG,PAKPAK BARAT
10343,SUMATERA UTARA,SITELLU TALI URANG JULU,ULU MERAH,PAKPAK BARAT
10344,SUMATERA UTARA,SITELLU TALI URANG JULU,PARDOMUAN,PAKPAK BARAT
10345,SUMATERA UTARA,SITELLU TALI URANG JEHE,MAHOLIDA,PAKPAK BARAT
10346,SUMATERA UTARA,SITELLU TALI URANG JEHE,PERJAGA,PAKPAK BARAT
10347,SUMATERA UTARA,SITELLU TALI URANG JEHE,KABAN TENGAH,PAKPAK BARAT
10348,SUMATERA UTARA,SITELLU TALI URANG JEHE,MBINALUM,PAKPAK BARAT
10349,SUMATERA UTARA,SITELLU TALI URANG JEHE,PEROLIHEN,PAKPAK BARAT
10350,SUMATERA UTARA,SITELLU TALI URANG JEHE,MALUM,PAKPAK BARAT
10351,SUMATERA UTARA,SITELLU TALI URANG JEHE,BANDAR BARU,PAKPAK BARAT
10352,SUMATERA UTARA,SALAK,KUTA TINGGI,PAKPAK BARAT
10353,SUMATERA UTARA,SALAK,SALAK I,PAKPAK BARAT
10354,SUMATERA UTARA,SALAK,PENANGGALAN BINANGA,PAKPAK BARAT
10355,SUMATERA UTARA,SALAK,SALAK II,PAKPAK BARAT
10356,SUMATERA UTARA,PERGETTENG-GETTENG SENGKUT,KECUPAK I,PAKPAK BARAT
10357,SUMATERA UTARA,PERGETTENG-GETTENG SENGKUT,SIMERPARA,PAKPAK BARAT
10358,SUMATERA UTARA,PERGETTENG-GETTENG SENGKUT,AORNAKAN,PAKPAK BARAT
10359,SUMATERA UTARA,KERAJAAN,KUTADAME,PAKPAK BARAT
10360,SUMATERA UTARA,KERAJAAN,PARPULUNGAN,PAKPAK BARAT
10361,SUMATERA UTARA,KERAJAAN,SURUNG MERSADA,PAKPAK BARAT
10362,SUMATERA UTARA,PAGINDAR,SIBAGINDAR,PAKPAK BARAT
10363,SUMATERA UTARA,PAGINDAR,PAGINDAR,PAKPAK BARAT
10364,SUMATERA UTARA,PAGINDAR,NAPATALUN PARLAMBUKA,PAKPAK BARAT
10365,SUMATERA UTARA,KERAJAAN,MAJANGGUT II,PAKPAK BARAT
10366,SUMATERA UTARA,PAGINDAR,LAE MBENTAR,PAKPAK BARAT
10367,SUMATERA UTARA,SALAK,SIBONGKARAS,PAKPAK BARAT
10368,SUMATERA UTARA,SITELLU TALI URANG JEHE,TANJUNG MULIA,PAKPAK BARAT
10369,SUMATERA UTARA,RONGGUR NIHUTA,SABUNGAN NIHUTA,SAMOSIR
10370,SUMATERA UTARA,SITIO-TIO,JANJI RAJA,SAMOSIR
10371,SUMATERA UTARA,SITIO-TIO,HOLBUNG,SAMOSIR
10372,SUMATERA UTARA,SIANJUR MULAMULA,SIBORO,SAMOSIR
10373,SUMATERA UTARA,SIANJUR MULAMULA,HASINGGAAN,SAMOSIR
10374,SUMATERA UTARA,SIANJUR MULAMULA,BONAN DOLOK,SAMOSIR
10375,SUMATERA UTARA,SIANJUR MULAMULA,HUTA GURGUR,SAMOSIR
10376,SUMATERA UTARA,SIMANINDO,SIMANINDO SANGKAL,SAMOSIR
10377,SUMATERA UTARA,SIMANINDO,SIMARMATA,SAMOSIR
10378,SUMATERA UTARA,SIMANINDO,CINTA DAME,SAMOSIR
10379,SUMATERA UTARA,SIMANINDO,MADUMA,SAMOSIR
10380,SUMATERA UTARA,SIMANINDO,TUKTUK SIADONG,SAMOSIR
10381,SUMATERA UTARA,SIMANINDO,HUTA GINJANG,SAMOSIR
10382,SUMATERA UTARA,SIMANINDO,PARMONANGAN,SAMOSIR
10383,SUMATERA UTARA,SIMANINDO,PARDOMUAN,SAMOSIR
10384,SUMATERA UTARA,SIMANINDO,MARTOBA,SAMOSIR
10385,SUMATERA UTARA,PANGURURAN,HUTA BOLON,SAMOSIR
10386,SUMATERA UTARA,PANGURURAN,SIOPAT SOSOR,SAMOSIR
10387,SUMATERA UTARA,PANGURURAN,LUMBAN SUHI-SUHI TORUAN,SAMOSIR
10388,SUMATERA UTARA,PANGURURAN,LUMBAN SUHI-SUHI DOLOK,SAMOSIR
10389,SUMATERA UTARA,PANGURURAN,SIANTING-ANTING,SAMOSIR
10390,SUMATERA UTARA,PANGURURAN,SAIT NIHUTA,SAMOSIR
10391,SUMATERA UTARA,PANGURURAN,PARSAORAN I,SAMOSIR
10392,SUMATERA UTARA,PANGURURAN,PASAR PANGURURAN,SAMOSIR
10393,SUMATERA UTARA,PANGURURAN,LUMBAN PINGGOL,SAMOSIR
10394,SUMATERA UTARA,PANGURURAN,PARDOMUAN I,SAMOSIR
10395,SUMATERA UTARA,PANGURURAN,PINTU SONA,SAMOSIR
10396,SUMATERA UTARA,PANGURURAN,HUTA TINGGI,SAMOSIR
10397,SUMATERA UTARA,PANGURURAN,SITOLU HUTA,SAMOSIR
10398,SUMATERA UTARA,SIANJUR MULAMULA,GINOLAT,SAMOSIR
10399,SUMATERA UTARA,PANGURURAN,PARLONDUT,SAMOSIR
10400,SUMATERA UTARA,PANGURURAN,PARDUGUL,SAMOSIR
10401,SUMATERA UTARA,PANGURURAN,SIALANGUAN,SAMOSIR
10402,SUMATERA UTARA,PANGURURAN,PANAMPANGAN,SAMOSIR
10403,SUMATERA UTARA,PALIPI,SIGAOL MARBUN,SAMOSIR
10404,SUMATERA UTARA,PALIPI,HATOGUAN,SAMOSIR
10405,SUMATERA UTARA,PALIPI,GORAT PARLOMBUAN,SAMOSIR
10406,SUMATERA UTARA,PALIPI,SUHUT NIHUTA PARDOMUAN,SAMOSIR
10407,SUMATERA UTARA,PALIPI,PARSAORAN URAT,SAMOSIR
10408,SUMATERA UTARA,PALIPI,SIGAOL SIMBOLON,SAMOSIR
10409,SUMATERA UTARA,ONANRUNGGU,JANJI MATOGU,SAMOSIR
10410,SUMATERA UTARA,ONANRUNGGU,HUTA HOTANG,SAMOSIR
10411,SUMATERA UTARA,ONANRUNGGU,TAMBUN SUNGKEAN,SAMOSIR
10412,SUMATERA UTARA,ONANRUNGGU,HUTA HOTANG,SAMOSIR
10413,SUMATERA UTARA,ONANRUNGGU,SITAMIANG,SAMOSIR
10414,SUMATERA UTARA,ONANRUNGGU,ONAN RUNGGU,SAMOSIR
10415,SUMATERA UTARA,NAINGGOLAN,SIBONOR OMPU RATUS,SAMOSIR
10416,SUMATERA UTARA,NAINGGOLAN,PARHUSIP III,SAMOSIR
10417,SUMATERA UTARA,ONANRUNGGU,SIPIRA,SAMOSIR
10418,SUMATERA UTARA,NAINGGOLAN,SIPINGGAN LUMBAN SIANTAR,SAMOSIR
10419,SUMATERA UTARA,NAINGGOLAN,SIRUMA HOMBAR,SAMOSIR
10420,SUMATERA UTARA,NAINGGOLAN,PASARAN I,SAMOSIR
10421,SUMATERA UTARA,HARIAN,TURPUK LIMBONG,SAMOSIR
10422,SUMATERA UTARA,HARIAN,TURPUK MALAU,SAMOSIR
10423,SUMATERA UTARA,HARIAN,TURPUK SAGALA,SAMOSIR
10424,SUMATERA UTARA,HARIAN,SOSOR DOLOK,SAMOSIR
10425,SUMATERA UTARA,HARIAN,TURPUK SIHOTANG,SAMOSIR
10426,SUMATERA UTARA,HARIAN,HARIARA POHAN,SAMOSIR
10427,SUMATERA UTARA,HARIAN,DOLOK RAJA,SAMOSIR
10428,SUMATERA UTARA,RONGGUR NIHUTA,RONGGUR NIHUTA,SAMOSIR
10429,SUMATERA UTARA,SIMANINDO,AMBARITA,SAMOSIR
10430,SUMATERA UTARA,ONANRUNGGU,RINA BOLAK,SAMOSIR
10431,SUMATERA UTARA,PANGURURAN,AEK NAULI,SAMOSIR
10432,SUMATERA UTARA,ONANRUNGGU,SITINJAK,SAMOSIR
10433,SUMATERA UTARA,ONANRUNGGU,PAKPAHAN,SAMOSIR
10434,SUMATERA UTARA,NAINGGOLAN,PASARAN PARSAORAN,SAMOSIR
10435,SUMATERA UTARA,PALIPI,SIMBOLON PURBA,SAMOSIR
10436,SUMATERA UTARA,NAINGGOLAN,PANANGGANGAN,SAMOSIR
10437,SUMATERA UTARA,NAINGGOLAN,HUTA RIHIT,SAMOSIR
10438,SUMATERA UTARA,PANGURURAN,SINABULAN,SAMOSIR
10439,SUMATERA UTARA,RONGGUR NIHUTA,PARADUAN,SAMOSIR
10440,SUMATERA UTARA,PANGURURAN,HUTA NAMORA,SAMOSIR
10441,SUMATERA UTARA,ONANRUNGGU,HARIAN,SAMOSIR
10442,SUMATERA UTARA,HARIAN,SIPARMAHAN,SAMOSIR
10443,SUMATERA UTARA,SITIO-TIO,CINTA MAJU,SAMOSIR
10444,SUMATERA UTARA,SITIO-TIO,TAMBA DOLOK,SAMOSIR
10445,SUMATERA UTARA,PANGURURAN,PARHORASAN,SAMOSIR
10446,SUMATERA UTARA,HARIAN,JANJI MARTAHAN,SAMOSIR
10447,SUMATERA UTARA,RONGGUR NIHUTA,SALAON TONGA-TONGA,SAMOSIR
10448,SUMATERA UTARA,SIANJUR MULAMULA,SARI MARIHIT,SAMOSIR
10449,SUMATERA UTARA,SIANJUR MULAMULA,SINGKAM,SAMOSIR
10450,SUMATERA UTARA,SIANJUR MULAMULA,SIANJUR MULA-MULA,SAMOSIR
10451,SUMATERA UTARA,SITIO-TIO,SABULAN,SAMOSIR
10452,SUMATERA UTARA,SITIO-TIO,BUNTU MAULI,SAMOSIR
10453,SUMATERA UTARA,HARIAN,SAMPUR TOBA,SAMOSIR
10454,SUMATERA UTARA,SIMANINDO,SIHUSAPI,SAMOSIR
10455,SUMATERA UTARA,SIANJUR MULAMULA,BOHO,SAMOSIR
10456,SUMATERA UTARA,SIANJUR MULAMULA,AEK SIPITUDAI,SAMOSIR
10457,SUMATERA UTARA,PANGURURAN,RIANIATE,SAMOSIR
10458,SUMATERA UTARA,PALIPI,URAT TIMUR,SAMOSIR
10459,SUMATERA UTARA,ONANRUNGGU,PARDOMUAN,SAMOSIR
10460,SUMATERA UTARA,SIMANINDO,DOSROHA,SAMOSIR
10461,SUMATERA UTARA,PANGURURAN,PARMONANGAN,SAMOSIR
10462,SUMATERA UTARA,SIANJUR MULAMULA,HUTA GINJANG,SAMOSIR
10463,SUMATERA UTARA,PANGURURAN,PARDOMUAN NAULI,SAMOSIR
10464,SUMATERA UTARA,PANGURURAN,PARBABA DOLOK,SAMOSIR
10465,SUMATERA UTARA,PANGURURAN,SITUNGKIR,SAMOSIR
10466,SUMATERA UTARA,NAINGGOLAN,PANGALOAN,SAMOSIR
10467,SUMATERA UTARA,NAINGGOLAN,TOGUAN GALUNG,SAMOSIR
10468,SUMATERA UTARA,NAINGGOLAN,NAINGGOLAN,SAMOSIR
10469,SUMATERA UTARA,NAINGGOLAN,SINAGA URUK PANDIANGAN,SAMOSIR
10470,SUMATERA UTARA,PALIPI,PALIPI,SAMOSIR
10471,SUMATERA UTARA,PANGURURAN,TANJUNG BUNGA,SAMOSIR
10472,SUMATERA UTARA,SIMANINDO,TOMOK,SAMOSIR
10473,SUMATERA UTARA,PALIPI,URAT II,SAMOSIR
10474,SUMATERA UTARA,PALIPI,SAOR NAULI HATOGUAN,SAMOSIR
10475,SUMATERA UTARA,PALIPI,PARDOMUAN NAULI,SAMOSIR
10476,SUMATERA UTARA,PALIPI,HUTA GINJANG,SAMOSIR
10477,SUMATERA UTARA,SIMANINDO,GAROGA,SAMOSIR
10478,SUMATERA UTARA,RONGGUR NIHUTA,SALAON DOLOK,SAMOSIR
10479,SUMATERA UTARA,SIMANINDO,TANJUNGAN,SAMOSIR
10480,SUMATERA UTARA,RONGGUR NIHUTA,SALAON TOBA,SAMOSIR
10481,SUMATERA UTARA,RONGGUR NIHUTA,LINTONG NIHUTA,SAMOSIR
10482,SUMATERA UTARA,RONGGUR NIHUTA,SIJAMBUR,SAMOSIR
10483,SUMATERA UTARA,ONANRUNGGU,SILIMA LOMBU,SAMOSIR
10484,SUMATERA UTARA,PANGURURAN,SIOGUNG-OGUNG,SAMOSIR
10485,SUMATERA UTARA,SIMANINDO,PARBALOHAN,SAMOSIR
10486,SUMATERA UTARA,HARIAN,PARTUNGKO NAGINJANG,SAMOSIR
10487,SUMATERA UTARA,PANTAI CERMIN,KOTA PARI,SERDANG BEDAGAI
10488,SUMATERA UTARA,PANTAI CERMIN,PANTAI CERMIN KANAN,SERDANG BEDAGAI
10489,SUMATERA UTARA,PANTAI CERMIN,PANTAI CERMIN KIRI,SERDANG BEDAGAI
10490,SUMATERA UTARA,PANTAI CERMIN,CELAWAN,SERDANG BEDAGAI
10491,SUMATERA UTARA,PANTAI CERMIN,BESAR 2 TERJUN,SERDANG BEDAGAI
10492,SUMATERA UTARA,PANTAI CERMIN,SEMENTARA,SERDANG BEDAGAI
10493,SUMATERA UTARA,PANTAI CERMIN,KUALA LAMA,SERDANG BEDAGAI
10494,SUMATERA UTARA,PANTAI CERMIN,PEMATANG KASIH,SERDANG BEDAGAI
10495,SUMATERA UTARA,PANTAI CERMIN,ARA PAYUNG,SERDANG BEDAGAI
10496,SUMATERA UTARA,PANTAI CERMIN,NAGA KISAR,SERDANG BEDAGAI
10497,SUMATERA UTARA,PERBAUNGAN,SUKA JADI,SERDANG BEDAGAI
10498,SUMATERA UTARA,PERBAUNGAN,LUBUK CEMARA,SERDANG BEDAGAI
10499,SUMATERA UTARA,PERBAUNGAN,PEMATANG TATAL,SERDANG BEDAGAI
10500,SUMATERA UTARA,PANTAI CERMIN,UJUNG RAMBUNG,SERDANG BEDAGAI
10501,SUMATERA UTARA,PERBAUNGAN,LIDAH TANAH,SERDANG BEDAGAI
10502,SUMATERA UTARA,PERBAUNGAN,PEMATANG SIJONAM,SERDANG BEDAGAI
10503,SUMATERA UTARA,PERBAUNGAN,CINTA AIR,SERDANG BEDAGAI
10504,SUMATERA UTARA,PERBAUNGAN,LUBUK DENDANG,SERDANG BEDAGAI
10505,SUMATERA UTARA,PERBAUNGAN,KESATUAN,SERDANG BEDAGAI
10506,SUMATERA UTARA,PERBAUNGAN,JAMBUR PULAU,SERDANG BEDAGAI
10507,SUMATERA UTARA,PERBAUNGAN,SEI NAGA LAWAN,SERDANG BEDAGAI
10508,SUMATERA UTARA,PERBAUNGAN,KOTA GALUH,SERDANG BEDAGAI
10509,SUMATERA UTARA,PERBAUNGAN,SUKA BERAS,SERDANG BEDAGAI
10510,SUMATERA UTARA,PERBAUNGAN,LUBUK ROTAN,SERDANG BEDAGAI
10511,SUMATERA UTARA,PERBAUNGAN,LUBUK BAYAS,SERDANG BEDAGAI
10512,SUMATERA UTARA,PERBAUNGAN,BATANG TERAP,SERDANG BEDAGAI
10513,SUMATERA UTARA,PERBAUNGAN,TANAH MERAH,SERDANG BEDAGAI
10514,SUMATERA UTARA,PERBAUNGAN,TUALANG,SERDANG BEDAGAI
10515,SUMATERA UTARA,TELUK MENGKUDU,PEKAN SIALANG BUAH,SERDANG BEDAGAI
10516,SUMATERA UTARA,PERBAUNGAN,SIMPANG TIGA PEKAN,SERDANG BEDAGAI
10517,SUMATERA UTARA,TELUK MENGKUDU,SIALANG BUAH,SERDANG BEDAGAI
10518,SUMATERA UTARA,TELUK MENGKUDU,SENTANG,SERDANG BEDAGAI
10519,SUMATERA UTARA,PERBAUNGAN,CITAMAN JERNIH,SERDANG BEDAGAI
10520,SUMATERA UTARA,TELUK MENGKUDU,SEI BULUH,SERDANG BEDAGAI
10521,SUMATERA UTARA,TELUK MENGKUDU,PASAR BARU,SERDANG BEDAGAI
10522,SUMATERA UTARA,TELUK MENGKUDU,PEMATANG GUNTUNG,SERDANG BEDAGAI
10523,SUMATERA UTARA,PERBAUNGAN,MELATI SATU,SERDANG BEDAGAI
10524,SUMATERA UTARA,PERBAUNGAN,ADOLINA,SERDANG BEDAGAI
10525,SUMATERA UTARA,TELUK MENGKUDU,BOGAK BESAR,SERDANG BEDAGAI
10526,SUMATERA UTARA,PEGAJAHAN,KARANG ANYAR,SERDANG BEDAGAI
10527,SUMATERA UTARA,PERBAUNGAN,SEI BULUH,SERDANG BEDAGAI
10528,SUMATERA UTARA,PERBAUNGAN,DELI MUDA HULU,SERDANG BEDAGAI
10529,SUMATERA UTARA,TELUK MENGKUDU,MAKMUR,SERDANG BEDAGAI
10530,SUMATERA UTARA,TELUK MENGKUDU,PEMATANG KUALA,SERDANG BEDAGAI
10531,SUMATERA UTARA,TELUK MENGKUDU,LIBERIA,SERDANG BEDAGAI
10532,SUMATERA UTARA,PEGAJAHAN,JATI MULYO,SERDANG BEDAGAI
10533,SUMATERA UTARA,SEI RAMPAH,TANAH RAJA,SERDANG BEDAGAI
10534,SUMATERA UTARA,TANJUNG BERINGIN,NAGUR,SERDANG BEDAGAI
10535,SUMATERA UTARA,TANJUNG BERINGIN,SUKA JADI,SERDANG BEDAGAI
10536,SUMATERA UTARA,PERBAUNGAN,MELATI DUA,SERDANG BEDAGAI
10537,SUMATERA UTARA,PEGAJAHAN,BENGABING,SERDANG BEDAGAI
10538,SUMATERA UTARA,TANJUNG BERINGIN,MANGGA DUA,SERDANG BEDAGAI
10539,SUMATERA UTARA,TANJUNG BERINGIN,BAGAN KUALA,SERDANG BEDAGAI
10540,SUMATERA UTARA,SEI RAMPAH,FIRDAUS ESTATE,SERDANG BEDAGAI
10541,SUMATERA UTARA,TANJUNG BERINGIN,TEBING TINGGI,SERDANG BEDAGAI
10542,SUMATERA UTARA,PEGAJAHAN,LESTARI DADI,SERDANG BEDAGAI
10543,SUMATERA UTARA,SEI RAMPAH,CEMPEDAK LOBANG,SERDANG BEDAGAI
10544,SUMATERA UTARA,TANJUNG BERINGIN,PEKAN TANJUNG BERINGIN,SERDANG BEDAGAI
10545,SUMATERA UTARA,PEGAJAHAN,PETUARAN HULU,SERDANG BEDAGAI
10546,SUMATERA UTARA,PEGAJAHAN,PEGAJAHAN,SERDANG BEDAGAI
10547,SUMATERA UTARA,SEI RAMPAH,RAMBUNG SIALANG HILIR,SERDANG BEDAGAI
10548,SUMATERA UTARA,TANJUNG BERINGIN,PEMATANG CERMAI,SERDANG BEDAGAI
10549,SUMATERA UTARA,SEI BAMBAN,RAMPAH ESTATE,SERDANG BEDAGAI
10550,SUMATERA UTARA,SEI RAMPAH,PEMATANG GANJANG,SERDANG BEDAGAI
10551,SUMATERA UTARA,SERBA JADI,PULAU GAMBAR,SERDANG BEDAGAI
10552,SUMATERA UTARA,PEGAJAHAN,PONDOK TENGAH,SERDANG BEDAGAI
10553,SUMATERA UTARA,SEI BAMBAN,SEI BAMBAN,SERDANG BEDAGAI
10554,SUMATERA UTARA,TANJUNG BERINGIN,PEMATANG TERANG,SERDANG BEDAGAI
10555,SUMATERA UTARA,SEI RAMPAH,RAMBUNG ESTATE,SERDANG BEDAGAI
10556,SUMATERA UTARA,SEI RAMPAH,SEI PARIT,SERDANG BEDAGAI
10557,SUMATERA UTARA,BANDAR KHALIPAH,GELAM SEI SERIMAH,SERDANG BEDAGAI
10558,SUMATERA UTARA,SEI BAMBAN,PENGGALANGAN,SERDANG BEDAGAI
10559,SUMATERA UTARA,SEI BAMBAN,PON,SERDANG BEDAGAI
10560,SUMATERA UTARA,PEGAJAHAN,SENNAH,SERDANG BEDAGAI
10561,SUMATERA UTARA,BANDAR KHALIPAH,PEKAN BANDAR KHALIPAH,SERDANG BEDAGAI
10562,SUMATERA UTARA,PEGAJAHAN,SUKA SARI,SERDANG BEDAGAI
10563,SUMATERA UTARA,SEI RAMPAH,RAMBUNG SIALANG TENGAH,SERDANG BEDAGAI
10564,SUMATERA UTARA,SEI BAMBAN,GEMPOLAN,SERDANG BEDAGAI
10565,SUMATERA UTARA,BANDAR KHALIPAH,KAYU BESAR,SERDANG BEDAGAI
10566,SUMATERA UTARA,BANDAR KHALIPAH,JUHAR,SERDANG BEDAGAI
10567,SUMATERA UTARA,PEGAJAHAN,TANJUNG PUTUS,SERDANG BEDAGAI
10568,SUMATERA UTARA,TEBING TINGGI,SEI PERIOK,SERDANG BEDAGAI
10569,SUMATERA UTARA,SEI RAMPAH,RAMBUNG SIALANG HULU,SERDANG BEDAGAI
10570,SUMATERA UTARA,SEI BAMBAN,BAKARAN BATU,SERDANG BEDAGAI
10571,SUMATERA UTARA,SERBA JADI,BAH SIDUA DUA,SERDANG BEDAGAI
10572,SUMATERA UTARA,SEI BAMBAN,SUKA DAMAI,SERDANG BEDAGAI
10573,SUMATERA UTARA,SERBA JADI,PULAU TAGOR,SERDANG BEDAGAI
10574,SUMATERA UTARA,TEBING TINGGI,PAYA MABAR,SERDANG BEDAGAI
10575,SUMATERA UTARA,SEI BAMBAN,SEI BELUTU,SERDANG BEDAGAI
10576,SUMATERA UTARA,TEBING TINGGI,PAYA LOMBANG,SERDANG BEDAGAI
10577,SUMATERA UTARA,DOLOK MASIHUL,KOTA TENGAH,SERDANG BEDAGAI
10578,SUMATERA UTARA,SERBA JADI,TAMBAK CEKUR,SERDANG BEDAGAI
10579,SUMATERA UTARA,BANDAR KHALIPAH,BANDAR TENGAH,SERDANG BEDAGAI
